,Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls,description
518,Terranueva Corporation,TEQ,Life Sciences,Cannabis,CSE Composite,CAD,17-Dec-18,https://thecse.com/en/listings/life-sciences/terranueva-corporation,"
	Terranueva Corporation is a public company the common shares of which are trading on the Canadian Securities Exchange (CSE) under the symbol TEQ. We rely on research and development and operational efficiency to become a key player in the emerging cannabis industry. The company’s purpose is to provide the Canadian and international markets with first-rate medicinal and recreational cannabis."
519,TerrAscend Corp.,TER,Life Sciences,Cannabis,CSE25,CAD,03-May-17,https://thecse.com/en/listings/life-sciences/terrascend-corp,"TerrAscend provides quality products, brands, and services to the global cannabinoid market. As the first North American Operator (NAO), with scale operations in both Canada and the US, TerrAscend participates in the medical and legal adult use markets across these jurisdictions. TerrAscend operates a number of synergistic businesses, including Ilera Healthcare, Pennsylvania’s premier medical marijuana cultivator, processor and dispenser; The Apothecarium, an award-winning cannabis dispensary with several retail locations in California; Valhalla Confections, a manufacturer of premium cannabis-infused edibles; and Arise Bioscience Inc., a manufacturer and distributor of hemp-derived products. TerrAscend holds a cultivation permit in the State of New Jersey and is pending approval for a vertically integrated medical cannabis operation with the ability to operate up to 3 Alternative Treatment Centers. Additionally, TerrAscend holds a Medical Cannabis Processor License in the State of Utah."
520,THC Biomed Intl Ltd,THC,Life Sciences,Cannabis,CSE Composite,CAD,01-Sep-15,https://thecse.com/en/listings/life-sciences/thc-biomed-intl-ltd,"The issuer is a licensed producer  and engaged in the business of developing technologies, products and services to support the Cannabis industry."
521,The Alkaline Water Company Inc.,WTER,Diversified Industries,,CSE Composite,CAD,19-May-20,https://thecse.com/en/listings/diversified-industries/the-alkaline-water-company-inc,"Founded in 2012, The Alkaline Water Company  is headquartered in Scottsdale, Arizona. Its flagship product, Alkakline88®, is a leading premier alkaline water brand available in bulk and single-serve sizes along with eco-friendly aluminum packaging options. With its innovative, state-of-the-art proprietary electrolysis process, Alkaline88® delivers perfect 8.8 pH balanced alkaline drinking water with trace minerals and electrolytes and boasts our trademarked label ‘Clean Beverage.’ Quickly being recognized as a growing lifestyle brand, Alkaline88® launched A88 infused™ in 2019 to meet consumer demand for flavor-infused products. A88 infused™ flavored water is available in seven unique all-natural flavors, with new flavors coming soon. Additionally, in 2020, the Company launched A88CBD Infused™ brand, featuring a broad line of topical and ingestible products. These products are made with lab-tested full-spectrum hemp and include salves, balms, lotions, essential oils, bath-salts, CBD infused drinks, beverage shots, tinctures, capsules, gummies, and powder packs."
522,The Tinley Beverage Company Inc.,TNY,Diversified Industries,US Cannabis,CSE Composite,CAD,28-Jan-16,https://thecse.com/en/listings/diversified-industries/the-tinley-beverage-company-inc,"
	The Tinley Beverage Company is a functional beverage company focused on hemp-infused beverages and supplements. The company has the only patent-produced liquid supplement containing certifiable phytoconstituent-rich hemp oil. The company is producing its products in Los Angeles and is focusing distribution on key markets throughout the West Coast."
523,The Very Good Food Company Inc.,VERY,Diversified Industries,,,CAD,18-Jun-20,https://thecse.com/en/listings/diversified-industries/the-very-good-food-company-inc,"The Very Good Food Company Inc. is an emerging plant-based food technology company that designs, develops, produces, distributes and sells a variety of plant-based meat and other food alternatives. The company's mission is to employ plant-based food technology to create products that are delicious while maintaining a wholesome nutritional profile. To date it has developed a core product line under The Very Good Butchers brand."
524,The Yield Growth Corp.,BOSS,Life Sciences,US Cannabis,CSE Composite,CAD,14-Dec-18,https://thecse.com/en/listings/life-sciences/the-yield-growth-corp,"The Yield Growth Corp. is dedicated to the rapid and sustainable growth of cannabis wellness assets. It develops, manufactures and distributes cannabis and hemp infused luxury product brands Urban Juve and Wright & Well and has a catalogue of over 200 wellness and beauty products in development.  Its management and advisory team have deep experience with global brands including Johnson & Johnson, Procter & Gamble, M·A·C Cosmetics, Skechers, Best Buy, Aritzia, Coca-Cola and Pepsi Corporation. Its flagship consumer brand, Urban Juve, has proprietary, patent-pending hemp root oil extraction technology and formulas. Wright & Well, its cannabis topicals brand, is launching in Oregon through a distribution network of 400 cannabis stores. Yield Growth is building sophisticated international distribution channels and has multiple revenue streams including licensing, services and product sales."
525,ThreeD Capital Inc.,IDK,Diversified Industries,Blockchain,,CAD,06-Jul-16,https://thecse.com/en/listings/diversified-industries/threed-capital-inc, 
526,Tier One Capital Limited Partnership,TLP.UN,Diversified Industries,,CSE Composite,CAD,01-Sep-15,https://thecse.com/en/listings/diversified-industries/tier-one-capital-limited-partnership,"Tier One Capital Limited Partnership is a limited partnership formed under the laws of the Province of Ontario. The General Partner of the Limited Partnership is T1 General Partner LP. The Limited Partnership’s investment objective is to provide a return on investment for Limited Partners and provide regular cash distributions. The Limited Partner is focused on funding rapidly growing Canadian companies by providing them with the capital needed to execute their growth strategies and acquisition plans. The primary focus will be on companies in the development stage with recurring revenue streams. The Limited Partnership aims to diversify its invests in a variety of industries including technology, healthcare and financial services."
527,TILT Holdings Inc.,TILT,Life Sciences,US Cannabis,CSE25,CAD,06-Dec-18,https://thecse.com/en/listings/life-sciences/tilt-holdings-inc,"TILT Holdings serves cannabis brands worldwide through a strong network of portfolio companies committed to technological innovations that support long-term success. TILT services more than 2,000 brands and cannabis retailers across 33 states in the U.S., as well as in Canada, Israel, Mexico, South America and the European Union."
528,Tocvan Ventures Corp.,TOC,Mining,,,CAD,01-Mar-19,https://thecse.com/en/listings/mining/tocvan-ventures-corp,"
	The company is an early stage natural resource company engaged primarily in the acquisition, exploration and, if warranted, development of mineral properties. The company’s objective is to conduct an exploration program on the Rogers Creek Property."
529,Top Exploration Inc.,TE,Mining,,,CAD,05-Mar-20,https://thecse.com/en/listings/mining/top-exploration-inc,Top Exploration Inc. is a resource exploration company currently focused on the exploration of its Golden Girl Property in British Columbia.
530,Top Strike Resources Corp.,VENI,Life Sciences,US Cannabis,,CAD,24-Sep-18,https://thecse.com/en/listings/life-sciences/top-strike-resources-corp,"Top Strike Resources Corp. dba ""Vencanna Ventures"" (""Vencanna""), aims to be a go-to capital provider for early-stage global cannabis initiatives with an emphasis on state compliant opportunities in limited jurisdictions in the United States.  We look to provide our investors with a diversified, high-growth, cannabis investment strategy through our strategic investments focused though-out the value chain (cultivation, processing and distribution, and including ancillary businesses)."
531,Tower One Wireless Corp.,TO,Technology,,CSE Composite,CAD,02-Sep-15,https://thecse.com/en/listings/technology/tower-one-wireless-corp,"
"
532,TraceSafe Inc. (formerly was BCX/Blockchain Holdings Ltd. until 2020-06-18),TSF,Technology,,CSE Composite,CAD,12-Oct-18,https://thecse.com/en/listings/technology/tracesafe-inc-(formerly-was-bcx/blockchain-holdings-ltd-until-2020-06-18),
533,Tracker Ventures Corp. (formerly was TOOL/Trackloop Analytics Corp. until 2019-10-24),TKR,Technology,,,CAD,02-Sep-15,https://thecse.com/en/listings/technology/tracker-ventures-corp-(formerly-was-tool/trackloop-analytics-corp-until-2019-10-24),
534,Transcanna Holdings Inc.,TCAN,Life Sciences,US Cannabis,CSE Composite,CAD,09-Jan-19,https://thecse.com/en/listings/life-sciences/transcanna-holdings-inc,"TransCanna Holdings Inc. is a cannabis branding, transportation and distribution company in California that assists cannabis cultivators and manufacturers in getting recognized by end-users and consumers."
535,Transcanna Holdings Inc. Wts.,TCAN.WT,Life Sciences,US Cannabis,,CAD,27-Aug-19,https://thecse.com/en/listings/life-sciences/transcanna-holdings-inc-wts,
536,Tree of Knowledge International Corp.,TOKI,Life Sciences,US Cannabis,,CAD,09-Jul-18,https://thecse.com/en/listings/life-sciences/tree-of-knowledge-international-corp,"Tree of Knowledge International Corp. (TOKI) is a public company that delivers pathways to innovative, science-based health and wellness solutions. The Company is a leader in pain management, spanning from seed to patient. Built upon an extensive network of scientific and medical research, TOK is an advanced leader in the development, processing, and distribution of focused products and treatments for pain relief. Tree of Knowledge spans the globe with its multidisciplinary pain clinics, research partners, consumer CBD products, and education and advocacy programs – all working in harmony to bring health and wellness to the world while creating value for shareholders and partners."
